task_id,category,difficulty,mode,selected_mode,prompt_router_reason,prompt_router_matched_features,cheap_model_name,expensive_model_name,device,cheap_device,expensive_device,torch_dtype,prompt_format,effective_prompt_format_cheap,effective_prompt_format_expensive,max_new_tokens,generated_text,source,answer_type,expected_answer,expected_label,function_name,inferred_answer,inferred_label,test_count,passed_tests,passed,score,failure_reason,error,estimated_saved_percent,expensive_model_calls,total_time_seconds,total_time_seconds_avg,total_time_seconds_std,total_time_seconds_min,total_time_seconds_max,generated_tokens,tokens_per_second,tokens_per_second_avg,tokens_per_second_std,total_generation_time_seconds,cheap_forward_time_seconds,expensive_forward_time_seconds,router_decision_time_seconds,guard_time_seconds,tokenizer_decode_time_seconds,prompt_format_time_seconds,evaluation_time_seconds,number_of_cheap_forwards,number_of_expensive_forwards,number_of_router_decisions,number_of_tokens_generated,average_time_per_generated_token,average_cheap_forward_time,average_expensive_forward_time,routing_overhead_time_seconds
mbpp_000001,code,hard,prompt_router_v1,cheap_only,matched_cheap_features,sum_dictionary_items,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda,cuda,cuda,float16,auto,chat,chat,8,"```python
def sum_dictionary(",mbpp,,,,return_sum,,,3,0,False,0.0,code_extraction_failed,code_extraction_failed,65.0,0,,,,,,8,,,,0.5490088999795262,0.5337690000305884,0.0,0.009878100012429059,0.0,0.00013780000153928995,0.004105900006834418,0.0001613000058569014,8,0,8,8,0.06862611249744077,0.06672112500382354,0.0,0.015239899948937818
mbpp_000001,code,hard,prompt_router_v2,cheap_only,default_cheap,,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda,cuda,cuda,float16,auto,chat,chat,8,"```python
def sum_dictionary(",mbpp,,,,return_sum,,,3,0,False,0.0,code_extraction_failed,code_extraction_failed,65.0,0,,,,,,8,,,,0.29827519998070784,0.2949432999594137,0.0,0.0015249000280164182,0.0,7.180002285167575e-05,0.0004774999979417771,3.339999238960445e-05,8,0,8,8,0.03728439999758848,0.03686791249492671,0.0,0.003331900021294132
mbpp_000002,code,medium,prompt_router_v1,expensive_only,matched_expensive_features,raised_to_power,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda,cuda,cuda,float16,auto,chat,chat,8,"```python
def even_Power_",mbpp,,,,even_Power_Sum,,,3,0,False,0.0,code_extraction_failed,code_extraction_failed,0.0,8,,,,,,8,,,,0.3429409999807831,0.0,0.3395705999864731,0.0013586999848484993,0.0,8.070000330917537e-05,0.0008240999886766076,9.709998266771436e-05,0,8,8,8,0.042867624997597886,0.0,0.04244632499830914,0.0033703999943099916
mbpp_000002,code,medium,prompt_router_v2,expensive_only,matched_high_confidence_expensive_features,fifth_power,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda,cuda,cuda,float16,auto,chat,chat,8,"```python
def even_Power_",mbpp,,,,even_Power_Sum,,,3,0,False,0.0,code_extraction_failed,code_extraction_failed,0.0,8,,,,,,8,,,,0.39279979999992065,0.0,0.3890792000165675,0.0018085999763570726,0.0,6.809999467805028e-05,0.0005470000032801181,3.100000321865082e-05,0,8,8,8,0.04909997499999008,0.0,0.048634900002070935,0.0037205999833531678
mbpp_000003,code,medium,prompt_router_v1,expensive_only,matched_expensive_features,max_product_increasing_subsequence,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda,cuda,cuda,float16,auto,chat,chat,8,"```python
def max_product(",mbpp,,,,max_product,,,3,0,False,0.0,code_extraction_failed,code_extraction_failed,0.0,8,,,,,,8,,,,0.5885114000120666,0.0,0.5843769999628421,0.0018791000184137374,0.0,9.68000094871968e-05,0.0006126000080257654,0.0003267000138293952,0,8,8,8,0.07356392500150832,0.0,0.07304712499535526,0.004134400049224496
mbpp_000003,code,medium,prompt_router_v2,cheap_only,default_cheap,,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda,cuda,cuda,float16,auto,chat,chat,8,Here is a Python function that finds the,mbpp,,,,max_product,,,3,0,False,0.0,code_extraction_failed,code_extraction_failed,65.0,0,,,,,,8,,,,0.6238865999912377,0.6194618000008631,0.0,0.0019316000689286739,0.0,8.620001608505845e-05,0.0008261000039055943,3.259998629800975e-05,8,0,8,8,0.07798582499890472,0.0774327250001079,0.0,0.004424799990374595
mbpp_000004,code,hard,prompt_router_v1,expensive_only,default_conservative,,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda,cuda,cuda,float16,auto,chat,chat,8,"```python
def max_length(",mbpp,,,,max_length,,,3,0,False,0.0,code_extraction_failed,code_extraction_failed,0.0,8,,,,,,8,,,,0.6758076999976765,0.0,0.671408900001552,0.002000999986194074,0.0,8.850000449456275e-05,0.0006399000121746212,0.00031110001145862043,0,8,8,8,0.08447596249970957,0.0,0.083926112500194,0.0043987999961245805
mbpp_000004,code,hard,prompt_router_v2,cheap_only,default_cheap,,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda,cuda,cuda,float16,auto,chat,chat,8,Here is a Python function that finds the,mbpp,,,,max_length,,,3,0,False,0.0,code_extraction_failed,code_extraction_failed,65.0,0,,,,,,8,,,,0.5931823999853805,0.5890893999312539,0.0,0.0018068999343086034,0.0,7.979999645613134e-05,0.0006978999881539494,3.1100003980100155e-05,8,0,8,8,0.07414779999817256,0.07363617499140673,0.0,0.004093000054126605
mbpp_000005,code,medium,prompt_router_v1,cheap_only,matched_cheap_features,circumference_or_perimeter,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda,cuda,cuda,float16,auto,chat,chat,8,"```python
def circle_circum",mbpp,,,,circle_circumference,,,3,0,False,0.0,code_extraction_failed,code_extraction_failed,65.0,0,,,,,,8,,,,0.6030972999869846,0.5989525999757461,0.0,0.0018920000293292105,0.0,9.029998909682035e-05,0.0006199000054039061,0.00015619999612681568,8,0,8,8,0.07538716249837307,0.07486907499696827,0.0,0.004144700011238456
mbpp_000005,code,medium,prompt_router_v2,cheap_only,default_cheap,,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,cuda,cuda,cuda,float16,auto,chat,chat,8,"```python
def circle_circum",mbpp,,,,circle_circumference,,,3,0,False,0.0,code_extraction_failed,code_extraction_failed,65.0,0,,,,,,8,,,,0.5683314000198152,0.5644301000284031,0.0,0.0017463000258430839,0.0,7.850001566112041e-05,0.0006313000048976392,3.589998232200742e-05,8,0,8,8,0.0710414250024769,0.07055376250355039,0.0,0.0039012999914120883
